"","category","comment","like","share"
"1",2,4,79,17
"2",2,5,130,29
"3",3,0,66,14
"4",2,58,1572,147
"5",2,19,325,49
"6",2,1,152,33
"7",3,3,249,27
"8",3,0,325,14
"9",2,0,161,31
"10",3,3,113,26
"11",2,0,233,19
"12",2,0,88,18
"13",2,0,90,14
"14",2,5,137,10
"15",2,2,577,20
"16",2,4,86,18
"17",3,2,40,12
"18",1,15,678,20
"19",3,4,54,17
"20",3,0,34,8
"21",2,3,66,12
"22",1,0,0,0
"23",1,0,16,2
"24",3,0,72,24
"25",2,3,99,19
"26",2,0,88,18
"27",2,10,412,72
"28",3,0,100,17
"29",2,36,523,63
"30",1,18,143,13
"31",2,33,107,22
"32",2,1,27,11
"33",3,2,155,47
"34",3,4,98,23
"35",1,2,56,17
"36",2,6,172,21
"37",3,0,96,17
"38",1,16,76,8
"39",2,11,227,31
"40",1,1,44,14
"41",2,7,216,39
"42",1,6,187,18
"43",1,7,26,3
"44",1,7,29,10
"45",1,0,47,11
"46",1,4,57,10
"47",1,4,174,36
"48",1,6,18,8
"49",1,0,77,15
"50",1,1,12,1
"51",2,1,48,9
"52",1,24,285,28
"53",1,9,202,31
"54",1,4,64,19
"55",1,4,66,13
"56",1,2,65,14
"57",1,2,164,54
"58",1,0,40,13
"59",1,3,76,11
"60",1,4,139,17
"61",1,8,101,14
"62",1,8,144,10
"63",1,10,179,13
"64",1,4,219,22
"65",1,2,60,7
"66",1,19,77,23
"67",1,0,48,7
"68",1,20,697,70
"69",1,0,53,17
"70",1,7,84,28
"71",1,7,146,9
"72",1,17,449,84
"73",3,3,226,44
"74",1,14,172,47
"75",1,2,99,13
"76",1,20,411,74
"77",1,0,0,0
"78",1,4,85,8
"79",2,0,56,8
"80",1,2,29,7
"81",2,2,86,13
"82",3,18,370,53
"83",1,5,190,57
"84",3,2,101,19
"85",3,2,99,16
"86",1,10,140,8
"87",1,2,130,31
"88",3,3,270,38
"89",1,3,30,6
"90",1,2,107,17
"91",1,13,331,77
"92",2,0,78,13
"93",3,9,301,32
"94",3,2,111,16
"95",2,2,124,22
"96",3,5,153,27
"97",1,3,51,11
"98",2,1,115,26
"99",2,7,310,61
"100",1,12,328,90
"101",1,0,0,0
"102",2,26,1505,95
"103",3,2,63,14
"104",1,0,13,4
"105",1,4,59,9
"106",1,42,955,139
"107",3,9,181,32
"108",2,17,193,28
"109",3,7,125,16
"110",2,4,217,50
"111",1,2,28,4
"112",2,4,117,18
"113",2,2,79,16
"114",1,0,15,2
"115",1,0,4,2
"116",1,1,431,26
"117",1,0,7,0
"118",1,0,7,2
"119",1,0,6,2
"120",2,6,186,40
"121",1,1,1,2
"122",1,1,3,2
"123",1,0,7,2
"124",3,3,198,41
"125",1,0,9,1
"126",1,0,4,1
"127",1,0,3,0
"128",1,0,8,2
"129",1,0,7,3
"130",1,1,7,2
"131",1,0,11,1
"132",1,2,28,4
"133",1,0,56,12
"134",1,0,32,16
"135",1,4,32,3
"136",2,0,129,25
"137",1,4,77,19
"138",1,15,143,44
"139",3,2,227,36
"140",2,60,859,90
"141",3,10,377,60
"142",1,3,41,9
"143",1,6,76,14
"144",3,0,189,15
"145",3,0,80,14
"146",2,3,148,28
"147",1,0,24,11
"148",1,24,302,41
"149",2,2,166,32
"150",2,47,358,49
"151",1,7,161,25
"152",2,13,319,55
"153",2,0,54,16
"154",2,16,117,30
"155",3,1,115,21
"156",2,30,187,35
"157",2,1,84,13
"158",3,6,363,40
"159",2,6,244,32
"160",3,22,290,98
"161",2,4,243,41
"162",1,103,469,33
"163",1,5,57,5
"164",1,0,23,2
"165",2,5,141,26
"166",1,0,19,5
"167",2,1,71,23
"168",1,0,72,21
"169",1,5,54,7
"170",3,5,93,19
"171",3,0,62,10
"172",2,0,78,16
"173",1,0,14,1
"174",2,11,231,43
"175",3,1,72,16
"176",1,9,197,28
"177",3,4,330,29
"178",1,0,148,7
"179",3,2,208,28
"180",2,12,148,28
"181",3,4,154,26
"182",3,3,142,18
"183",3,8,107,20
"184",1,0,22,3
"185",3,2,84,13
"186",3,2,59,12
"187",3,3,65,14
"188",1,0,24,4
"189",3,9,186,23
"190",3,0,58,17
"191",2,2,74,14
"192",3,2,180,44
"193",2,18,168,49
"194",1,0,36,5
"195",3,2,51,6
"196",3,2,67,14
"197",3,20,1372,47
"198",3,2,57,6
"199",3,2,33,10
"200",2,1,79,17
"201",3,3,97,22
"202",3,16,617,58
"203",3,7,139,34
"204",3,20,199,32
"205",3,1,107,26
"206",3,0,50,10
"207",3,0,64,20
"208",2,2,55,10
"209",2,1,142,37
"210",3,2,72,9
"211",3,4,79,16
"212",3,25,244,44
"213",1,25,307,58
"214",3,6,212,36
"215",3,2,95,17
"216",2,5,194,33
"217",3,6,101,29
"218",1,3,46,14
"219",3,3,156,20
"220",3,37,821,90
"221",3,1,58,13
"222",3,12,155,23
"223",3,45,1639,122
"224",2,3,155,32
"225",3,4,166,33
"226",1,6,210,39
"227",3,4,400,25
"228",2,2,98,18
"229",1,12,138,38
"230",3,3,148,16
"231",2,2,267,40
"232",2,1,144,29
"233",3,25,256,54
"234",1,3,72,24
"235",3,0,87,18
"236",2,1,129,36
"237",3,1,179,30
"238",1,9,194,33
"239",3,1,124,32
"240",3,4,304,47
"241",3,12,138,39
"242",1,4,41,9
"243",2,2,163,35
"244",1,45,407,76
"245",2,17,447,123
"246",1,7,38,11
"247",1,2,93,26
"248",1,0,59,16
"249",3,0,286,30
"250",3,0,66,13
"251",3,8,236,51
"252",1,2,152,11
"253",3,51,1998,128
"254",1,8,186,18
"255",3,11,235,34
"256",1,1,64,22
"257",3,2,92,28
"258",1,3,53,13
"259",3,5,140,38
"260",1,0,48,8
"261",1,0,112,14
"262",1,0,35,5
"263",1,4,37,3
"264",3,0,48,14
"265",2,6,766,109
"266",1,1,96,18
"267",3,1,57,13
"268",3,3,114,21
"269",1,1,51,6
"270",3,1,87,27
"271",1,5,81,11
"272",3,1,71,18
"273",3,9,164,52
"274",3,5,91,26
"275",1,9,329,38
"276",1,4,128,17
"277",1,1,379,40
"278",3,1,52,24
"279",3,1,63,26
"280",3,2,97,25
"281",3,2,56,9
"282",1,1,36,7
"283",2,4,138,26
"284",2,7,142,24
"285",3,1,75,15
"286",1,1,89,14
"287",1,2,63,16
"288",1,3,176,29
"289",1,7,227,15
"290",1,3,25,6
"291",1,0,0,0
"292",1,1,27,11
"293",1,0,39,14
"294",1,0,61,13
"295",1,0,32,7
"296",1,0,2,0
"297",1,8,109,3
"298",1,0,32,6
"299",3,2,68,15
"300",1,0,6,1
"301",1,4,213,13
"302",1,0,2,0
"303",1,0,3,0
"304",1,0,6,0
"305",1,0,4,0
"306",1,0,4,1
"307",1,12,211,14
"308",1,1,15,1
"309",1,11,95,4
"310",1,16,127,0
"311",1,0,136,13
"312",2,2,32,15
"313",1,1,76,9
"314",1,1,28,7
"315",1,0,0,0
"316",3,10,664,97
"317",3,1,62,10
"318",2,0,48,20
"319",1,1,55,7
"320",1,10,197,21
"321",1,6,88,24
"322",1,2,59,6
"323",1,6,234,26
"324",1,3,148,21
"325",1,0,96,29
"326",1,4,49,15
"327",3,3,98,27
"328",3,14,198,70
"329",3,5,159,53
"330",1,1,22,6
"331",1,6,154,18
"332",3,5,128,32
"333",2,2,129,32
"334",3,146,1546,181
"335",1,5,79,11
"336",3,19,214,78
"337",3,8,134,34
